id,ad_creative_body,ad_delivery_start_time,ad_delivery_stop_time,page_name,punlisher_platforms,delivery_by_region,demographic_distribution,impressions_lower_bound,impressions_upper_bound,spend_lower_bound,spend_upper_bound,diferencia,translated_column,polaridad,sentimiento
2863050000000000.0," Domotica para mejorar tu hogar sin preocupaciones. Experiencias unicas, entretenimiento y de la mejor calidad para tu hogar ",30/05/2022,03/06/2022, Seguimientos Operacionales de México ," facebook"",""instagram ","[{""percentage"":""0.010309"",""region"":""Aguascalientes""},{""percentage"":""0.006665"",""region"":""Nayarit""},{""percentage"":""0.015204"",""region"":""Yucatán""},{""percentage"":""0.053213"",""region"":""Veracruz""},{""percentage"":""0.005103"",""region"":""Tlaxcala""},{""percentage"":""0.024888"",""region"":""Tamaulipas""},{""percentage"":""0.016349"",""region"":""Tabasco""},{""percentage"":""0.065813"",""region"":""Sonora""},{""percentage"":""0.076747"",""region"":""Sinaloa""},{""percentage"":""0.016661"",""region"":""San Luis Potosi""},{""percentage"":""0.012913"",""region"":""Quintana Roo""},{""percentage"":""0.019785"",""region"":""Querétaro Arteaga""},{""percentage"":""0.037801"",""region"":""Puebla""},{""percentage"":""0.015308"",""region"":""Oaxaca""},{""percentage"":""0.065604"",""region"":""Nuevo León""},{""percentage"":""0.013017"",""region"":""Morelos""},{""percentage"":""0.071853"",""region"":""Baja California""},{""percentage"":""0.03426"",""region"":""Michoacán de Ocampo""},{""percentage"":""0.070707"",""region"":""State of Mexico""},{""percentage"":""0.088514"",""region"":""Jalisco""},{""percentage"":""0.016037"",""region"":""Hidalgo""},{""percentage"":""0.011767"",""region"":""Guerrero""},{""percentage"":""0.040716"",""region"":""Guanajuato""},{""percentage"":""0.010309"",""region"":""Durango""},{""percentage"":""0.084349"",""region"":""Distrito Federal""},{""percentage"":""0.006977"",""region"":""Colima""},{""percentage"":""0.026658"",""region"":""Coahuila de Zaragoza""},{""percentage"":""0.038634"",""region"":""Chihuahua""},{""percentage"":""0.018848"",""region"":""Chiapas""},{""percentage"":""0.005415"",""region"":""Campeche""},{""percentage"":""0.006769"",""region"":""Baja California Sur""},{""percentage"":""0.012808"",""region"":""Zacatecas""}]","[{""percentage"":""0.000106"",""age"":""13-17"",""gender"":""female""},{""percentage"":""0.000423"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.000635"",""age"":""55-64"",""gender"":""unknown""},{""percentage"":""0.000741"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.017245"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.019044"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.198053"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.364579"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.189061"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.139653"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.002328"",""age"":""18-24"",""gender"":""unknown""},{""percentage"":""0.004972"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.022747"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.034702"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.004126"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.001587"",""age"":""25-34"",""gender"":""unknown""}]",10000,14999,200,299,4,"<pad> Home automation to improve your home without worries. Unique experiences, entertainment and the best quality for your home</s>",0.6875,positivo
150678000000000.0," Equipo de seguimiento operacional para obtener una mejor gestion del tiempo y los recursos. Con el equipo de seguimiento operacional mejora la productividad, monitorea el progreso de sus procesos y toma las mejores decisiones para mejorar los resultados. ",23/10/2021,27/10/2021,Tecnología y Automatización Evalúa , facebook ,"[{""percentage"":""0.004305"",""region"":""Aguascalientes""},{""percentage"":""0.005262"",""region"":""Nayarit""},{""percentage"":""0.010285"",""region"":""Yucatán""},{""percentage"":""0.041617"",""region"":""Veracruz""},{""percentage"":""0.004784"",""region"":""Tlaxcala""},{""percentage"":""0.017699"",""region"":""Tamaulipas""},{""percentage"":""0.016742"",""region"":""Tabasco""},{""percentage"":""0.0232"",""region"":""Sonora""},{""percentage"":""0.016025"",""region"":""Sinaloa""},{""percentage"":""0.016982"",""region"":""San Luis Potosi""},{""percentage"":""0.005979"",""region"":""Quintana Roo""},{""percentage"":""0.012437"",""region"":""Querétaro Arteaga""},{""percentage"":""0.025831"",""region"":""Puebla""},{""percentage"":""0.022483"",""region"":""Oaxaca""},{""percentage"":""0.025831"",""region"":""Nuevo León""},{""percentage"":""0.013155"",""region"":""Morelos""},{""percentage"":""0.01172"",""region"":""Baja California""},{""percentage"":""0.023918"",""region"":""Michoacán de Ocampo""},{""percentage"":""0.045444"",""region"":""State of Mexico""},{""percentage"":""0.050227"",""region"":""Jalisco""},{""percentage"":""0.013872"",""region"":""Hidalgo""},{""percentage"":""0.022961"",""region"":""Guerrero""},{""percentage"":""0.023679"",""region"":""Guanajuato""},{""percentage"":""0.009806"",""region"":""Durango""},{""percentage"":""0.075341"",""region"":""Distrito Federal""},{""percentage"":""0.382444"",""region"":""Colima""},{""percentage"":""0.021526"",""region"":""Coahuila de Zaragoza""},{""percentage"":""0.019373"",""region"":""Chihuahua""},{""percentage"":""0.016742"",""region"":""Chiapas""},{""percentage"":""0.002631"",""region"":""Campeche""},{""percentage"":""0.008132"",""region"":""Baja California Sur""},{""percentage"":""0.009567"",""region"":""Zacatecas""}]","[{""percentage"":""0.001685"",""age"":""65+"",""gender"":""unknown""},{""percentage"":""0.074627"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.016129"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.048628"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.189697"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.075349"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.077275"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.205826"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.006259"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.000481"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.110496"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.031536"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.001444"",""age"":""55-64"",""gender"":""unknown""},{""percentage"":""0.016851"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.000722"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.000722"",""age"":""18-24"",""gender"":""unknown""},{""percentage"":""0.000963"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.14131"",""age"":""45-54"",""gender"":""male""}]",5000,5999,200,299,4,"<pad> Operational monitoring team to obtain better management of time and resources. With the operational monitoring team improves productivity, monitors the progress of your processes and makes the best decisions to improve results.</s>",0.75,positivo
1667400000000000.0, Mejora tu seguridad con la instalacion de productos de ultima generacion. Seguridad y control al alcance de tu empresa. Previene riesgos y mejora la proteccion de tus empleados. Garantizados resultados sin precedentes ,07/07/2022,11/07/2022, Operadores de Seguimiento Estratégico de México ," facebook"",""instagram ","[{""percentage"":""0.006173"",""region"":""Baja California Sur""},{""percentage"":""0.013601"",""region"":""Sinaloa""},{""percentage"":""0.012973"",""region"":""Yucatán""},{""percentage"":""0.093953"",""region"":""Veracruz""},{""percentage"":""0.015798"",""region"":""Tlaxcala""},{""percentage"":""0.031178"",""region"":""Tabasco""},{""percentage"":""0.015066"",""region"":""Sonora""},{""percentage"":""0.021448"",""region"":""Nuevo León""},{""percentage"":""0.006068"",""region"":""Nayarit""},{""percentage"":""0.008579"",""region"":""Colima""},{""percentage"":""0.018414"",""region"":""Chihuahua""},{""percentage"":""0.009939"",""region"":""Campeche""},{""percentage"":""0.014961"",""region"":""Baja California""},{""percentage"":""0.011299"",""region"":""Aguascalientes""},{""percentage"":""0.025633"",""region"":""Tamaulipas""},{""percentage"":""0.021448"",""region"":""San Luis Potosi""},{""percentage"":""0.043315"",""region"":""Chiapas""},{""percentage"":""0.015066"",""region"":""Quintana Roo""},{""percentage"":""0.013078"",""region"":""Querétaro Arteaga""},{""percentage"":""0.078364"",""region"":""Puebla""},{""percentage"":""0.037665"",""region"":""Oaxaca""},{""percentage"":""0.022599"",""region"":""Morelos""},{""percentage"":""0.033584"",""region"":""Michoacán de Ocampo""},{""percentage"":""0.116865"",""region"":""State of Mexico""},{""percentage"":""0.032747"",""region"":""Jalisco""},{""percentage"":""0.036409"",""region"":""Hidalgo""},{""percentage"":""0.036409"",""region"":""Guerrero""},{""percentage"":""0.057543"",""region"":""Guanajuato""},{""percentage"":""0.010776"",""region"":""Durango""},{""percentage"":""0.096359"",""region"":""Distrito Federal""},{""percentage"":""0.025633"",""region"":""Coahuila de Zaragoza""},{""percentage"":""0.017054"",""region"":""Zacatecas""}]","[{""percentage"":""0.000618"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.188942"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.045923"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.000309"",""age"":""65+"",""gender"":""unknown""},{""percentage"":""0.001339"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.000412"",""age"":""55-64"",""gender"":""unknown""},{""percentage"":""0.004016"",""age"":""18-24"",""gender"":""unknown""},{""percentage"":""0.017916"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.052409"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.023682"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.000103"",""age"":""13-17"",""gender"":""female""},{""percentage"":""0.02811"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.026359"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.265445"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.075474"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.037171"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.146623"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.084329"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.000824"",""age"":""45-54"",""gender"":""unknown""}]",10000,14999,400,499,4,<pad> Improve your safety with the installation of latest generation products. Security and control within reach of your company. Prevent risks and improve the protection of your employees. Guaranteed unprecedented results</s>,0.55,positivo
1605590000000000.0," Inversiones en la industria con productos de calidad automatizados. Reduce los costos de produccion, optimiza resultados y da un paso adelante a la tecnologia. Automatizar, modernizar tu industria y obtener resultados sorprendentes ",22/04/2021,26/04/2021, Dómotica del Norte de México ," facebook"",""instagram"",""messenger ","[{""percentage"":""0.000199"",""region"":""Unknown""},{""percentage"":""0.02672"",""region"":""Morelos""},{""percentage"":""0.017747"",""region"":""Yucatán""},{""percentage"":""0.088933"",""region"":""Veracruz""},{""percentage"":""0.008375"",""region"":""Tlaxcala""},{""percentage"":""0.036889"",""region"":""Tamaulipas""},{""percentage"":""0.020937"",""region"":""Tabasco""},{""percentage"":""0.020738"",""region"":""Sonora""},{""percentage"":""0.01994"",""region"":""Sinaloa""},{""percentage"":""0.028315"",""region"":""San Luis Potosi""},{""percentage"":""0.010967"",""region"":""Quintana Roo""},{""percentage"":""0.009571"",""region"":""Querétaro Arteaga""},{""percentage"":""0.041276"",""region"":""Puebla""},{""percentage"":""0.055035"",""region"":""Oaxaca""},{""percentage"":""0.025723"",""region"":""Nuevo León""},{""percentage"":""0.015553"",""region"":""Nayarit""},{""percentage"":""0.056431"",""region"":""Michoacán de Ocampo""},{""percentage"":""0.009771"",""region"":""Aguascalientes""},{""percentage"":""0.071984"",""region"":""State of Mexico""},{""percentage"":""0.044267"",""region"":""Jalisco""},{""percentage"":""0.024925"",""region"":""Hidalgo""},{""percentage"":""0.072183"",""region"":""Guerrero""},{""percentage"":""0.05663"",""region"":""Guanajuato""},{""percentage"":""0.01675"",""region"":""Durango""},{""percentage"":""0.027318"",""region"":""Distrito Federal""},{""percentage"":""0.005982"",""region"":""Colima""},{""percentage"":""0.033101"",""region"":""Coahuila de Zaragoza""},{""percentage"":""0.034297"",""region"":""Chihuahua""},{""percentage"":""0.049053"",""region"":""Chiapas""},{""percentage"":""0.012762"",""region"":""Campeche""},{""percentage"":""0.010169"",""region"":""Baja California Sur""},{""percentage"":""0.017348"",""region"":""Baja California""},{""percentage"":""0.03011"",""region"":""Zacatecas""}]","[{""percentage"":""0.107157"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.000199"",""age"":""65+"",""gender"":""unknown""},{""percentage"":""0.084095"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.086481"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.071571"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.149304"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.036978"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.183499"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.121869"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.026441"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.040755"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.064414"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.026441"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.000199"",""age"":""55-64"",""gender"":""unknown""},{""percentage"":""0.000398"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.000199"",""age"":""18-24"",""gender"":""unknown""}]",6000,6999,400,499,4,"<pad> Investments in the industry with automated quality products. Reduce production costs, optimize results and take a step forward to technology. Automate, modernize your industry and get amazing results</s>",0.6,positivo
1194340000000000.0, Equipo de seguimiento operacional para obtener la mejor informacion. El control necesario para mejorar la calidad de tus trabajos ,27/09/2021,01/10/2021, Automatización Mexicana SA de CV , facebook ,"[{""percentage"":""9.7E-5"",""region"":""Unknown""},{""percentage"":""0.989725"",""region"":""Baja California""},{""percentage"":""0.010177"",""region"":""California""}]","[{""percentage"":""0.000323"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.001216"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.042412"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.006676"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.290929"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.069885"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.143318"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.211565"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.115647"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.072292"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.019506"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.02174"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.001688"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.002755"",""age"":""18-24"",""gender"":""unknown""},{""percentage"":""5.0E-5"",""age"":""55-64"",""gender"":""unknown""}]",70000,79999,800,899,4,<pad> Operational follow-up team to get the best information. The control needed to improve the quality of your work</s>,1.0,positivo
632437000000000.0, ¡Optimiza los procesos de la empresa con los cursos de certificacion en automatizacion! los conocimientos y la precision que adquiriras te llevara a obtener mejores resultados ,18/11/2020,22/11/2020,Atmocontrol México ," facebook"",""instagram ","[{""percentage"":""0.0061"",""region"":""Aguascalientes""},{""percentage"":""0.039828"",""region"":""Puebla""},{""percentage"":""0.009688"",""region"":""Tlaxcala""},{""percentage"":""0.035522"",""region"":""Tamaulipas""},{""percentage"":""0.033369"",""region"":""Sonora""},{""percentage"":""0.015429"",""region"":""Quintana Roo""},{""percentage"":""0.01507"",""region"":""Morelos""},{""percentage"":""0.027987"",""region"":""Michoacán de Ocampo""},{""percentage"":""0.10549"",""region"":""Distrito Federal""},{""percentage"":""0.011123"",""region"":""Zacatecas""},{""percentage"":""0.016864"",""region"":""Yucatán""},{""percentage"":""0.036598"",""region"":""Tabasco""},{""percentage"":""0.031934"",""region"":""Sinaloa""},{""percentage"":""0.03624"",""region"":""San Luis Potosi""},{""percentage"":""0.012558"",""region"":""Querétaro Arteaga""},{""percentage"":""0.032293"",""region"":""Oaxaca""},{""percentage"":""0.019734"",""region"":""Baja California""},{""percentage"":""0.028705"",""region"":""Nuevo León""},{""percentage"":""0.017223"",""region"":""Nayarit""},{""percentage"":""0.068891"",""region"":""State of Mexico""},{""percentage"":""0.043057"",""region"":""Jalisco""},{""percentage"":""0.024399"",""region"":""Hidalgo""},{""percentage"":""0.036957"",""region"":""Guerrero""},{""percentage"":""0.042339"",""region"":""Guanajuato""},{""percentage"":""0.011841"",""region"":""Durango""},{""percentage"":""0.047722"",""region"":""Colima""},{""percentage"":""0.032293"",""region"":""Coahuila de Zaragoza""},{""percentage"":""0.04521"",""region"":""Chihuahua""},{""percentage"":""0.029064"",""region"":""Chiapas""},{""percentage"":""0.008611"",""region"":""Campeche""},{""percentage"":""0.005382"",""region"":""Baja California Sur""},{""percentage"":""0.072479"",""region"":""Veracruz""}]","[{""percentage"":""0.001079"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.000719"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.00036"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.023732"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.079827"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.100324"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.037756"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.023732"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.000719"",""age"":""65+"",""gender"":""unknown""},{""percentage"":""0.128371"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.094211"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.029845"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.081625"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.149227"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.090615"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.157857"",""age"":""65+"",""gender"":""male""}]",3000,3999,200,299,4,<pad> Optimize the processes of the company with the certification courses in automation! the knowledge and precision that you will acquire will lead you to obtain better results</s>,0.5,positivo
543718000000000.0, ¡Consigue resultados optimos con tu equipo de automatizacion! Mejora tu produccion con la ultima tecnologia en automatizacion. ,16/10/2020,20/10/2020, Grupo Cyber Monterrey ," facebook"",""instagram"",""messenger ","[{""percentage"":""1"",""region"":""Jalisco""}]","[{""percentage"":""0.001024"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.303123"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.000512"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.032258"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.016385"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.087558"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.008193"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.043011"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.163338"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.000512"",""age"":""55-64"",""gender"":""unknown""},{""percentage"":""0.047107"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.201229"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.03277"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.045059"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.016897"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.000512"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.000512"",""age"":""65+"",""gender"":""unknown""}]",2000,2999,100,199,4,<pad> Get optimal results with your automation team! Improve your production with the latest automation technology.</s>,0.5,positivo
531147000000000.0, Robotica industrial para mejorar tus procesos. Logra la eficiencia sin precedentes para lograr la mejor calidad ,07/07/2022,11/07/2022, Geosan de Robótica SA de CV ," facebook"",""instagram ","[{""percentage"":""0.00714"",""region"":""Aguascalientes""},{""percentage"":""0.008181"",""region"":""Nayarit""},{""percentage"":""0.022311"",""region"":""Yucatán""},{""percentage"":""0.080916"",""region"":""Veracruz""},{""percentage"":""0.015172"",""region"":""Tlaxcala""},{""percentage"":""0.024989"",""region"":""Tamaulipas""},{""percentage"":""0.029005"",""region"":""Tabasco""},{""percentage"":""0.013089"",""region"":""Sonora""},{""percentage"":""0.015321"",""region"":""Sinaloa""},{""percentage"":""0.018444"",""region"":""San Luis Potosi""},{""percentage"":""0.011156"",""region"":""Quintana Roo""},{""percentage"":""0.027517"",""region"":""Querétaro Arteaga""},{""percentage"":""0.062918"",""region"":""Puebla""},{""percentage"":""0.040904"",""region"":""Oaxaca""},{""percentage"":""0.025881"",""region"":""Nuevo León""},{""percentage"":""0.024394"",""region"":""Morelos""},{""percentage"":""0.017254"",""region"":""Baja California""},{""percentage"":""0.041053"",""region"":""Michoacán de Ocampo""},{""percentage"":""0.093708"",""region"":""State of Mexico""},{""percentage"":""0.047003"",""region"":""Jalisco""},{""percentage"":""0.029154"",""region"":""Hidalgo""},{""percentage"":""0.044772"",""region"":""Guerrero""},{""percentage"":""0.05087"",""region"":""Guanajuato""},{""percentage"":""0.009966"",""region"":""Durango""},{""percentage"":""0.122416"",""region"":""Distrito Federal""},{""percentage"":""0.00714"",""region"":""Colima""},{""percentage"":""0.023948"",""region"":""Coahuila de Zaragoza""},{""percentage"":""0.020229"",""region"":""Chihuahua""},{""percentage"":""0.042094"",""region"":""Chiapas""},{""percentage"":""0.006247"",""region"":""Campeche""},{""percentage"":""0.006247"",""region"":""Baja California Sur""},{""percentage"":""0.010561"",""region"":""Zacatecas""}]","[{""percentage"":""0.00091"",""age"":""18-24"",""gender"":""unknown""},{""percentage"":""0.143681"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.000759"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.00091"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.000759"",""age"":""55-64"",""gender"":""unknown""},{""percentage"":""0.038082"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.087544"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.051889"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.118191"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.001062"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.028979"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.090578"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.086937"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.159005"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.067971"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.090275"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.031255"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.001214"",""age"":""65+"",""gender"":""unknown""}]",8000,8999,300,399,4,<pad> Industrial Robotics to improve your processes. Achieve unprecedented efficiency to achieve the best quality</s>,0.8,positivo
1522300000000000.0," Software Industrial para proporcionar soluciones verdaderamente competitivas. Integramos el control de procesos, el manejo de seguridad, la produccion, la calidad y la optimizacion de los procesos de produccion. ",24/04/2021,28/04/2021, Instalaciones de Vigilancia Profesional de México , facebook ,"[{""percentage"":""1"",""region"":""Aguascalientes""}]","[{""percentage"":""0.00039"",""age"":""65+"",""gender"":""unknown""},{""percentage"":""0.065861"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.036243"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.130553"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.117303"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.025721"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.077553"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.091193"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.137178"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.036633"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.031567"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.120811"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.127436"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.000779"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.000779"",""age"":""35-44"",""gender"":""unknown""}]",3000,3999,100,199,4,"<pad> Industrial software to provide truly competitive solutions. We integrate process control, security management, production, quality and optimization of production processes.</s>",0.0,neutro
951915000000000.0," Productos de limpieza industrial para una mejor proteccion de tu empresa. Desinfecta y elimina riesgos para tu empresa, previene enfermedades e infecciones. Garantiza una limpieza profunda y la eliminacion de impurezas para asegurar una mejor calidad de tus productos y mejor satisfaccion de tus clientes ",12/02/2022,16/02/2022, Automatización e IngenieríaVZ , facebook ,"[{""percentage"":""0.009466"",""region"":""Aguascalientes""},{""percentage"":""0.010602"",""region"":""Nayarit""},{""percentage"":""0.013821"",""region"":""Yucatán""},{""percentage"":""0.067588"",""region"":""Veracruz""},{""percentage"":""0.007952"",""region"":""Tlaxcala""},{""percentage"":""0.03067"",""region"":""Tamaulipas""},{""percentage"":""0.020447"",""region"":""Tabasco""},{""percentage"":""0.024991"",""region"":""Sonora""},{""percentage"":""0.023097"",""region"":""Sinaloa""},{""percentage"":""0.018364"",""region"":""San Luis Potosi""},{""percentage"":""0.004544"",""region"":""Quintana Roo""},{""percentage"":""0.014388"",""region"":""Querétaro Arteaga""},{""percentage"":""0.038432"",""region"":""Puebla""},{""percentage"":""0.030102"",""region"":""Oaxaca""},{""percentage"":""0.020636"",""region"":""Nuevo León""},{""percentage"":""0.013631"",""region"":""Morelos""},{""percentage"":""0.022151"",""region"":""Baja California""},{""percentage"":""0.031238"",""region"":""Michoacán de Ocampo""},{""percentage"":""0.074972"",""region"":""State of Mexico""},{""percentage"":""0.060962"",""region"":""Jalisco""},{""percentage"":""0.015903"",""region"":""Hidalgo""},{""percentage"":""0.023855"",""region"":""Guerrero""},{""percentage"":""0.037864"",""region"":""Guanajuato""},{""percentage"":""0.010791"",""region"":""Durango""},{""percentage"":""0.082544"",""region"":""Distrito Federal""},{""percentage"":""0.186861"",""region"":""Colima""},{""percentage"":""0.025559"",""region"":""Coahuila de Zaragoza""},{""percentage"":""0.034646"",""region"":""Chihuahua""},{""percentage"":""0.018932"",""region"":""Chiapas""},{""percentage"":""0.007005"",""region"":""Campeche""},{""percentage"":""0.007952"",""region"":""Baja California Sur""},{""percentage"":""0.010034"",""region"":""Zacatecas""}]","[{""percentage"":""0.001149"",""age"":""65+"",""gender"":""unknown""},{""percentage"":""0.065084"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.000957"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.000574"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.009763"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.014357"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.039051"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.166922"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.155054"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.000957"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.130743"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.091884"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.192956"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.025842"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.067764"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.036179"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.000766"",""age"":""55-64"",""gender"":""unknown""}]",6000,6999,200,299,4,"<pad> Industrial cleaning products for a better protection of your company. It disinfects and eliminates risks for your company, prevents diseases and infections. It guarantees a deep cleaning and the removal of impurities to ensure a better quality of your products and better satisfaction of your customers</s>",0.375,positivo
